epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,695.913,0.87649,0.51468,0.93542,0.84909,0.73308,0.79036,0.55456,0.92281,0.63553,0.99072,0.0095941,0.0095941,0.0095941
43,710.68,0.8466,0.51222,0.93162,0.83527,0.72749,0.77413,0.52181,0.9987,0.66342,1.04196,0.0095842,0.0095842,0.0095842
44,725.457,0.85743,0.51014,0.93258,0.83746,0.71742,0.77351,0.53995,0.94258,0.70224,1.002,0.0095743,0.0095743,0.0095743
45,743.821,0.84799,0.50803,0.92742,0.82832,0.72251,0.78301,0.54182,0.94914,0.64484,1.01443,0.0095644,0.0095644,0.0095644
46,758.656,0.86436,0.51187,0.93361,0.8405,0.73349,0.79335,0.56037,0.93018,0.65382,0.99034,0.0095545,0.0095545,0.0095545
47,776.736,0.84922,0.50328,0.92845,0.84726,0.73495,0.78753,0.55483,0.93158,0.64281,0.99458,0.0095446,0.0095446,0.0095446
48,791.47,0.84972,0.49848,0.92545,0.83955,0.72215,0.77655,0.53591,0.97709,0.69173,1.03482,0.0095347,0.0095347,0.0095347
49,809.784,0.83651,0.48978,0.9233,0.84835,0.73036,0.79107,0.53989,0.95655,0.60777,1.00246,0.0095248,0.0095248,0.0095248
50,824.581,0.84606,0.49694,0.92685,0.83776,0.73983,0.79591,0.55845,0.93469,0.65322,0.99268,0.0095149,0.0095149,0.0095149
51,842.92,0.84595,0.49808,0.92621,0.86173,0.7209,0.78094,0.54731,0.94352,0.65767,0.99518,0.009505,0.009505,0.009505
52,857.287,0.83903,0.50047,0.92567,0.83273,0.748,0.79935,0.56077,0.92679,0.59955,0.99226,0.0094951,0.0094951,0.0094951
53,875.463,0.83075,0.48862,0.92233,0.84008,0.72824,0.78338,0.54543,0.96672,0.7328,1.01826,0.0094852,0.0094852,0.0094852
54,890.129,0.84945,0.49577,0.9201,0.84795,0.74709,0.8008,0.57246,0.88603,0.60681,0.97204,0.0094753,0.0094753,0.0094753
55,904.896,0.83917,0.4923,0.92714,0.84915,0.74225,0.79078,0.56582,0.89465,0.63104,0.98385,0.0094654,0.0094654,0.0094654
56,923.147,0.84787,0.49502,0.92576,0.84372,0.73615,0.79734,0.5549,0.92421,0.63565,0.98986,0.0094555,0.0094555,0.0094555
57,937.588,0.83649,0.48977,0.92126,0.83744,0.72523,0.78632,0.55872,0.90088,0.65128,0.98703,0.0094456,0.0094456,0.0094456
58,955.746,0.83378,0.49018,0.92402,0.83156,0.72955,0.77948,0.55568,0.91096,0.65589,0.98215,0.0094357,0.0094357,0.0094357
59,970.267,0.83544,0.49595,0.92418,0.84386,0.74714,0.79595,0.55625,0.94486,0.62351,1.00488,0.0094258,0.0094258,0.0094258
60,988.594,0.83154,0.49301,0.92493,0.84961,0.72375,0.77901,0.55379,0.9277,0.67794,0.99975,0.0094159,0.0094159,0.0094159
61,1002.85,0.81586,0.481,0.91839,0.80709,0.74609,0.7906,0.562,0.92506,0.62261,0.98564,0.009406,0.009406,0.009406
62,1021.39,0.84137,0.49226,0.92374,0.85055,0.74518,0.80525,0.576,0.88395,0.58172,0.96812,0.0093961,0.0093961,0.0093961
63,1036.1,0.81339,0.48108,0.91516,0.8266,0.75933,0.79888,0.55969,0.90579,0.58886,0.97697,0.0093862,0.0093862,0.0093862
64,1054.4,0.84213,0.49071,0.9248,0.8453,0.7428,0.79679,0.55489,0.94643,0.62701,1.01451,0.0093763,0.0093763,0.0093763
65,1069.58,0.82565,0.48283,0.92149,0.83027,0.75689,0.79989,0.56266,0.91677,0.63111,0.97282,0.0093664,0.0093664,0.0093664
66,1084.04,0.82139,0.48322,0.92219,0.83728,0.73308,0.79738,0.56474,0.91398,0.60627,0.99313,0.0093565,0.0093565,0.0093565
67,1102.2,0.82363,0.48041,0.92041,0.83739,0.75429,0.78774,0.55376,0.90656,0.64595,1.00708,0.0093466,0.0093466,0.0093466
68,1116.67,0.8362,0.48463,0.92168,0.84813,0.73479,0.79477,0.57014,0.89312,0.61484,0.98098,0.0093367,0.0093367,0.0093367
69,1134.67,0.8227,0.47789,0.92237,0.85157,0.741,0.80068,0.56838,0.90078,0.61625,0.98884,0.0093268,0.0093268,0.0093268
